ccn,state,name,city,zip,hospital_type,ownership,parent_or_hint,mrf_url,notes
050022,CA,Riverside Community Hospital,Riverside,92501,Acute Care Hospitals,Proprietary,HCA Healthcare,https://www.riversidecommunityhospital.com/patient-resources/patient-financial-resources/pricing-transparency-cms-required-file-of-standard-charges,
050125,CA,Regional Medical Center of San Jose,San Jose,95116,Acute Care Hospitals,"Proprietary (mis-coded ""Government - Federal"" in CMS)",HCA Healthcare,https://rmc.scvh.org/patients-visitors/patient-services/price-transparency-cost-estimator,
050131,CA,Novato Community Hospital,Novato,94945,Acute Care Hospitals,Voluntary non-profit - Private,Sutter Health,https://edge.sitecorecloud.io/sutterhealt962c-sutterhealt8fce-production57cc-4860/media/Project/SutterHealth/SutterHealth/Files/billing-insurance/costs-and-charges/940562680-1104059153_novato-community-hospital_standardcharges.csv,
050211,CA,Alameda Hospital,Alameda,94501,Acute Care Hospitals,Government - Hospital District or Authority,Alameda Health System,https://www.alamedahealthsystem.org/wp-content/uploads/pricing/943302014_alameda-hospital_standardcharges.csv,
050245,CA,Arrowhead Regional Medical Center,Colton,92324,Acute Care Hospitals,Government - Local,San Bernardino County,https://sthpiprd.blob.core.windows.net/machine-readable-files/8225/956002748_san-bernardino-county_standardcharges.csv,
050320,CA,Highland Hospital,Oakland,94602,Acute Care Hospitals,Government - Hospital District or Authority,Alameda Health System,https://www.alamedahealthsystem.org/wp-content/uploads/pricing/943302014_highland-hospital_standardcharges.csv,
050393,CA,PIH Health Downey Hospital,Downey,90241,Acute Care Hospitals,Voluntary non-profit - Private,PIH Health,https://www.pihhealth.org/app/files/public/6abe6a34-928e-469d-a5c6-b3ba03a06710/CDM%20April_2026_PHDH.csv,prior fetch returned HTTP 403 — needs browser User-Agent
050471,CA,PIH Health Good Samaritan Hospital,Los Angeles,90017,Acute Care Hospitals,Proprietary,PIH Health,https://www.pihhealth.org/app/files/public/cd154dc5-029d-420e-83d0-36da2cff6f99/PHGSH_CDM_Charge_March2026.csv,prior fetch returned HTTP 403
050528,CA,Memorial Hospital Los Banos,Los Banos,93635,Acute Care Hospitals,Voluntary non-profit - Private,independent / Sutter affiliate?,https://edge.sitecorecloud.io/sutterhealt962c-sutterhealt8fce-production57cc-4860/media/Project/SutterHealth/SutterHealth/Files/billing-insurance/costs-and-charges/941156621-1366896300_memorial-hospital-los-banos_standardcharges.csv,
050549,CA,Los Robles Hospital & Medical Center,Thousand Oaks,91360,Acute Care Hospitals,Proprietary,HCA Healthcare,https://stctrprodsnsvc00455826e6.blob.core.windows.net/pt-final-posting-files/95-2321136_LOS-ROBLES-HOSPITAL-AND-MEDICAL-CENTER_standardcharges.json?si=pt-json-access-policy&spr=https&sv=2024-11-04&sr=c&sig=o5IofreS%2F7ETlsnhPakPWCwHVVUZRobywQ5wUKGjVuQ%3D,
054055,CA,College Hospital,Cerritos,90703,Psychiatric,Proprietary,College Health Enterprises,https://chc.la/953421289_college-hospital-cerritos_standcharges_03_2025.csv,
054089,CA,Jewish Home & Rehab Center,San Francisco,94112,Psychiatric,Voluntary non-profit - Private,Jewish Senior Living Group,https://jewishliving.pt.panaceainc.com/MRFDownload/jewishliving/sfcampus,SITE DOWN
054133,CA,DSH-Metropolitan State Hospital,Norwalk,90650,Psychiatric,Government - State,CA Dept of State Hospitals,,possibly exempt (state psych); confirm
150046,IN,Terre Haute Regional Hospital,Terre Haute,47802,Acute Care Hospitals,Proprietary,HCA Healthcare,,might have closed and changed to Union Health
